R;		Complexity;		$\sigma$;		$\ell$;		$\omega_1$;		$\omega_2$;		$nu_1$;		$nu_2$;		$\ell_1$;		$\ell_2$;		$\pi_1$;		$\pi_2$;		$tau$
0.520000000000;	0.111842677239;	 0.055601723733;	 0.099171699092;	 0.182613299841;	 0.025865876934;	 0.002736417354;	 0.090465927407;	 0.016093774473;	 0.043569944292;	 0.007476130902;	 0.014761597661;	 0.103502199863
0.530000000000;	0.111662050817;	 0.054752173519;	 0.098667038772;	 0.188290385917;	 0.025682649490;	 0.002669660152;	 0.087732400125;	 0.016101213153;	 0.043914824671;	 0.007468122945;	 0.014740613167;	 0.100317108961
0.540000000000;	0.111390616137;	 0.053126154540;	 0.094143529095;	 0.196365169981;	 0.024590028172;	 0.002684557879;	 0.084907965043;	 0.015233647646;	 0.041017329035;	 0.007080644606;	 0.013982630435;	 0.097182448464
0.550000000000;	0.111029964984;	 0.050966999722;	 0.089631633293;	 0.204700682729;	 0.023333397318;	 0.002606097563;	 0.082356990360;	 0.014399624052;	 0.038664586014;	 0.006698040290;	 0.013229802518;	 0.094097243346
0.560000000000;	0.110580597922;	 0.048240194586;	 0.083107153202;	 0.214326333770;	 0.021581029913;	 0.002532440939;	 0.079916850764;	 0.013125282293;	 0.034866952158;	 0.006130017868;	 0.012118944197;	 0.091060573196
0.570000000000;	0.110050908608;	 0.047551705083;	 0.082598683127;	 0.219924805895;	 0.021440611602;	 0.002490479269;	 0.077214448602;	 0.013108348972;	 0.035046831177;	 0.006117122539;	 0.012091115576;	 0.088071569498
0.580000000000;	0.109427371994;	 0.042602827109;	 0.071433479492;	 0.232981838651;	 0.018300315970;	 0.002286102546;	 0.075370826656;	 0.010946173297;	 0.028830658212;	 0.005139515843;	 0.010173062776;	 0.085129413171
0.590000000000;	0.108734437636;	 0.039552332815;	 0.066714789995;	 0.241866438003;	 0.016797651824;	 0.002081129286;	 0.073249252860;	 0.010104316944;	 0.027162395195;	 0.004751199667;	 0.009407695753;	 0.082233332366
0.600000000000;	0.107931261643;	 0.038355088743;	 0.063010441912;	 0.249317217275;	 0.015998761366;	 0.002101474338;	 0.070625485351;	 0.009446941164;	 0.024655350473;	 0.004452956649;	 0.008821634417;	 0.079382600481
0.610000000000;	0.107049925387;	 0.038879593998;	 0.063618633812;	 0.253750877542;	 0.016363884662;	 0.002179039849;	 0.067743413889;	 0.009642216512;	 0.024739048544;	 0.004533343882;	 0.008976076823;	 0.076576534404
0.620000000000;	0.106088040856;	 0.035419549954;	 0.057364762082;	 0.263607843982;	 0.014524211500;	 0.001978132460;	 0.065810297264;	 0.008507193462;	 0.021945193450;	 0.004014933549;	 0.007956149629;	 0.073814492956
0.630000000000;	0.105041405882;	 0.033738974833;	 0.054616453315;	 0.270822286432;	 0.013743375189;	 0.001882341173;	 0.063521646330;	 0.008038902956;	 0.020877495004;	 0.003802179188;	 0.007537791412;	 0.071095875530
0.640000000000;	0.103912745629;	 0.034437656422;	 0.056623258327;	 0.274469533041;	 0.014362218100;	 0.001919004652;	 0.060844885547;	 0.008485405533;	 0.022185296596;	 0.004000118425;	 0.007924692367;	 0.068420120924
0.650000000000;	0.102713915096;	 0.028737681471;	 0.044595390550;	 0.288333483029;	 0.011073815741;	 0.001648796929;	 0.059337147237;	 0.006316047561;	 0.015857700526;	 0.003003746062;	 0.005961762078;	 0.065786706355
0.660000000000;	0.101398918551;	 0.031230102614;	 0.049791018317;	 0.289489439534;	 0.012628811381;	 0.001797993978;	 0.056300830726;	 0.007309527540;	 0.018560852452;	 0.003459732607;	 0.006859876632;	 0.063195146658
0.670000000000;	0.100013052517;	 0.028338264815;	 0.044531897467;	 0.298564899215;	 0.011142823308;	 0.001632713977;	 0.054440289646;	 0.006404575761;	 0.016193393862;	 0.003038254393;	 0.006027210907;	 0.060644993674
0.680000000000;	0.098548041563;	 0.026844437026;	 0.041944677299;	 0.305605433055;	 0.010449960757;	 0.001553923995;	 0.052219353003;	 0.005981351143;	 0.015100256725;	 0.002842819353;	 0.005641581752;	 0.058135835815
0.690000000000;	0.096998866065;	 0.025050945755;	 0.038927064752;	 0.313011015039;	 0.009618757918;	 0.001448737250;	 0.050220163766;	 0.005483023172;	 0.013876103344;	 0.002612835466;	 0.005187801930;	 0.055667297832
0.700000000000;	0.095365438533;	 0.024126021961;	 0.037200434585;	 0.319336761605;	 0.009207672689;	 0.001407222983;	 0.048048119382;	 0.005231054037;	 0.013074434724;	 0.002490600844;	 0.004944416938;	 0.053239040777
0.710000000000;	0.093650277736;	 0.021794644399;	 0.033128120461;	 0.327538617896;	 0.008095542542;	 0.001273190534;	 0.046169681299;	 0.004559848796;	 0.011333494008;	 0.002178358608;	 0.004327387894;	 0.050850762183
0.720000000000;	0.091849761675;	 0.021784677611;	 0.033240680933;	 0.332487341968;	 0.008186925119;	 0.001278253249;	 0.043939250745;	 0.004616890433;	 0.011455986260;	 0.002203928439;	 0.004377456879;	 0.048502196476
0.730000000000;	0.089962290476;	 0.020061337751;	 0.030433966731;	 0.339752348060;	 0.007420249732;	 0.001176127681;	 0.041957425783;	 0.004167833121;	 0.010372257008;	 0.001994927102;	 0.003964328689;	 0.046193115638
0.740000000000;	0.087994604417;	 0.017734403544;	 0.026544975026;	 0.347860310981;	 0.006361054995;	 0.001036679303;	 0.040195596565;	 0.003551564192;	 0.008810590965;	 0.001703784323;	 0.003387303280;	 0.043923330154
0.750000000000;	0.085935671147;	 0.017533633284;	 0.026069189340;	 0.353198577718;	 0.006309461518;	 0.001037315086;	 0.038028437833;	 0.003506350563;	 0.008535483146;	 0.001680806860;	 0.003341145495;	 0.041692690274
0.760000000000;	0.083797373091;	 0.015194704056;	 0.022270820426;	 0.361267249142;	 0.005279609659;	 0.000893910726;	 0.036361648689;	 0.002910560884;	 0.007076077720;	 0.001400933642;	 0.002786897655;	 0.039501087638
0.770000000000;	0.081566501132;	 0.014403517076;	 0.020993152657;	 0.367301687982;	 0.004974114182;	 0.000850465563;	 0.034379941216;	 0.002725014752;	 0.006589606174;	 0.001315518001;	 0.002618236290;	 0.037348457327
0.780000000000;	0.079249461656;	 0.014169546675;	 0.020736796605;	 0.372546851511;	 0.004940459752;	 0.000838385688;	 0.032349912912;	 0.002720385715;	 0.006567213202;	 0.001308710810;	 0.002603191355;	 0.035234780401
0.790000000000;	0.076844954123;	 0.012487738544;	 0.017958390466;	 0.379776916538;	 0.004222771459;	 0.000739203559;	 0.030624627479;	 0.002299512259;	 0.005470639396;	 0.001110570867;	 0.002210565881;	 0.033160087025
0.800000000000;	0.074350898627;	 0.011505553911;	 0.016514677895;	 0.385989891395;	 0.003854503598;	 0.000678521615;	 0.028820522465;	 0.002094841327;	 0.005009093965;	 0.001013831040;	 0.002018701015;	 0.031124460305
0.810000000000;	0.071767962044;	 0.010082250740;	 0.014184005933;	 0.392866864166;	 0.003272454596;	 0.000595626517;	 0.027109906889;	 0.001758872487;	 0.004101729749;	 0.000853258039;	 0.001699669781;	 0.029128040978
0.820000000000;	0.069088777881;	 0.009957063326;	 0.014116275268;	 0.397963338201;	 0.003279524782;	 0.000588420978;	 0.025202495068;	 0.001768996920;	 0.004159185663;	 0.000857550692;	 0.001707996702;	 0.027171033169
0.830000000000;	0.066317855556;	 0.008804699362;	 0.012295417528;	 0.404449941473;	 0.002829480902;	 0.000519929109;	 0.023566845660;	 0.001513544536;	 0.003486808664;	 0.000734975346;	 0.001464294289;	 0.025253711475
0.840000000000;	0.063452077567;	 0.008160539095;	 0.011554214174;	 0.410142631065;	 0.002633676018;	 0.000476413303;	 0.021803329587;	 0.001423810753;	 0.003393631072;	 0.000690581393;	 0.001375604103;	 0.023376429727
