$R$;	  Complexity;	  $\sigma$;	  $\ell$;	  $\omega_1$;	  $\omega_2$;	  $\nu_1$;	  $\nu_2$;	  $\tau$
0.020000000000;	  0.010104900895;	  0.010102213284;	  0.009897408865;	  0.000000188907;	  0.001912572747;	  0.000000012240;	  0.412634231073;	  0.416937481940
0.030000000000;	  0.014692970615;	  0.014673451561;	  0.014689190452;	  0.000318678984;	  0.002993983856;	  0.000194833725;	  0.392237938029;	  0.398388300731
0.040000000000;	  0.019176764795;	  0.019127602332;	  0.019127602454;	  0.000872397604;	  0.004095397685;	  0.000511784942;	  0.374796805167;	  0.382806394431
0.050000000000;	  0.023532083140;	  0.023303692327;	  0.023309680968;	  0.001693313334;	  0.005183372340;	  0.000779915422;	  0.359456024518;	  0.369127748985
0.060000000000;	  0.027775572014;	  0.027394819633;	  0.027394912760;	  0.002605133803;	  0.006296674952;	  0.001112063525;	  0.345557637920;	  0.356806060828
0.070000000000;	  0.031917741907;	  0.031241227343;	  0.031256900774;	  0.003750935958;	  0.007384374318;	  0.001384229445;	  0.333237574168;	  0.345516451281
0.080000000000;	  0.035953527196;	  0.035201597785;	  0.035201661759;	  0.004798370227;	  0.008542869117;	  0.001823954368;	  0.320859155642;	  0.335047023973
0.090000000000;	  0.039898071663;	  0.038922508411;	  0.038923033995;	  0.006077228796;	  0.009667372977;	  0.002185184112;	  0.309786757133;	  0.325250447385
0.100000000000;	  0.043752669511;	  0.041650226009;	  0.041651615223;	  0.008349079380;	  0.010519513770;	  0.002324063678;	  0.299600658975;	  0.316019346324
0.110000000000;	  0.047492379242;	  0.045376537968;	  0.045376551667;	  0.009623455182;	  0.011703846504;	  0.002746629213;	  0.289660528196;	  0.307272585479
0.120000000000;	  0.051149966000;	  0.048335601649;	  0.048337086563;	  0.011663655894;	  0.012674029611;	  0.003010375087;	  0.280491442794;	  0.298947074239
0.130000000000;	  0.054712858843;	  0.050822625248;	  0.050822625272;	  0.014177374730;	  0.013511828521;	  0.003220024487;	  0.271715038147;	  0.290992596895
0.140000000000;	  0.058177730194;	  0.054130553941;	  0.054130554049;	  0.015869446026;	  0.014638500130;	  0.003605751915;	  0.263130266795;	  0.283368405476
0.150000000000;	  0.061542644402;	  0.056133362938;	  0.056133363004;	  0.018866637018;	  0.015349933543;	  0.003763955575;	  0.255223199563;	  0.276040891840
0.160000000000;	  0.064811889864;	  0.058346800944;	  0.058346800952;	  0.021653199044;	  0.016145229126;	  0.003981048387;	  0.247581227881;	  0.268981948329
0.170000000000;	  0.067984087968;	  0.060586753547;	  0.060586753648;	  0.024413246419;	  0.016963717027;	  0.004206300143;	  0.240334832003;	  0.262167783240
0.180000000000;	  0.071050070979;	  0.061273013660;	  0.061272982355;	  0.028727001984;	  0.017252177137;	  0.004220931773;	  0.233608312589;	  0.255578045725
0.190000000000;	  0.074016141665;	  0.063667491861;	  0.063667491897;	  0.031332508121;	  0.018146911855;	  0.004500531304;	  0.226642898805;	  0.249195166680
0.200000000000;	  0.076875443103;	  0.064259427125;	  0.064259427625;	  0.035740572606;	  0.018412682143;	  0.004516072862;	  0.220635999406;	  0.243003853809
0.210000000000;	  0.079633798059;	  0.064193733290;	  0.064193696200;	  0.040806285266;	  0.018445964637;	  0.004477870186;	  0.214841906549;	  0.236990698938
0.220000000000;	  0.082280788237;	  0.065765700785;	  0.065765700832;	  0.044234299203;	  0.019070372502;	  0.004664672156;	  0.208640600138;	  0.231143868490
0.230000000000;	  0.084829608889;	  0.067109110084;	  0.067109110133;	  0.047890889910;	  0.019620782370;	  0.004823157311;	  0.202722937989;	  0.225452856548
0.240000000000;	  0.087271642717;	  0.067818856195;	  0.067818856171;	  0.052181143798;	  0.019945736309;	  0.004907021444;	  0.197142381181;	  0.219908285709
0.250000000000;	  0.089591843957;	  0.065537732556;	  0.065537732590;	  0.059462267419;	  0.019173910634;	  0.004636356591;	  0.192759850215;	  0.214501744860
0.260000000000;	  0.091817355931;	  0.066984876130;	  0.066984876194;	  0.063015123836;	  0.019771423120;	  0.004815946875;	  0.187188760064;	  0.209225655861
0.270000000000;	  0.093932563648;	  0.066470646506;	  0.066470646589;	  0.068529353435;	  0.019648851686;	  0.004767459336;	  0.182487164070;	  0.204073163060
0.280000000000;	  0.095941955362;	  0.065908145588;	  0.065908145657;	  0.074091854396;	  0.019508645365;	  0.004727337549;	  0.177775026111;	  0.199038041039
0.290000000000;	  0.097844212511;	  0.064684558955;	  0.064684559011;	  0.080315441007;	  0.019123494891;	  0.004616741465;	  0.173451891956;	  0.194114617051
0.300000000000;	  0.099645181974;	  0.064350281623;	  0.064350281587;	  0.085649718397;	  0.019068002736;	  0.004601927192;	  0.168984501291;	  0.189297705371
0.310000000000;	  0.101339002428;	  0.062423874091;	  0.062423871596;	  0.092576127177;	  0.018422583963;	  0.004432623631;	  0.164998763570;	  0.184582551418
